# C++知识点案例 - 书籍章节映射表
# 格式：文件名|知识点|C++ Primer章节|Effective C++章节

032_static_variables.cpp|静态变量与RTC_NOINIT_ATTR|第2章 变量和基本类型 - 2.3 变量声明和定义的关系|条款4 确定对象被使用前已先被初始化
033_constexpr_variables.cpp|constexpr编译期常量|第2章 变量和基本类型 - 2.4 const限定符|条款2 尽量以const、enum、inline替换#define
034_namespace_using.cpp|命名空间using指令|第3章 字符串、向量和数组 - 3.1 命名空间的using声明|无直接对应章节
035_default_optional_parameters.cpp|函数默认参数与可选参数|第6章 函数 - 6.5 特殊用途语言特性 - 6.5.1 默认实参|条款36 绝不重新定义继承而来的non-virtual函数
036_dynamic_cast.cpp|dynamic_cast动态类型转换|第15章 面向对象程序设计 - 15.2 基类与派生类 - 15.2.3 虚函数与动态绑定|条款37 绝不重新定义继承而来的缺省参数值
037_signal_slot.cpp|信号槽机制|第10章 泛型算法 - 10.3 定制操作|条款21 必须返回对象时，别妄想返回其reference
038_exception_handling.cpp|异常处理机制|第18章 用于大型程序的工具 - 18.1 异常处理|条款7 为多态基类声明virtual析构函数
039_raii_resource_management.cpp|RAII资源获取即初始化|第12章 动态内存 - 12.1 动态内存与智能指针|条款13 以对象管理资源
040_std_function.cpp|std::function可调用对象包装器|第10章 泛型算法 - 10.3 定制操作|条款54 让自己熟悉TR1和Boost
041_singleton_pattern.cpp|单例模式|第7章 类 - 7.6 类的其他特性 - 7.6.2 静态成员|条款04 确定对象被使用前已先被初始化
042_conditional_compilation.cpp|条件编译|第16章 模板与泛型编程 - 16.1 定义模板|无直接对应章节
043_bit_operations.cpp|位操作与寄存器访问|第4章 表达式 - 4.8 位运算符|无直接对应章节
044_struct_initialization.cpp|结构体初始化与成员访问|第2章 变量和基本类型 - 2.6 自定义数据结构|无直接对应章节
045_boost_thread_sleep.cpp|boost::this_thread::sleep_for时间处理|第12章 动态内存 - 12.2 动态数组|条款54 让自己熟悉TR1和Boost
046_namespace_nesting.cpp|命名空间嵌套与using指令进阶|第3章 字符串、向量和数组 - 3.1 命名空间的using声明|无直接对应章节
047_virtual_functions_advanced.cpp|虚函数与多态进阶|第15章 面向对象程序设计 - 15.3 虚函数 - 15.3.1 虚函数的工作原理|条款34 区分接口继承和实现继承
048_static_assert.cpp|static_assert编译期断言|第2章 变量和基本类型 - 2.4 const限定符|条款02 尽量以const、enum、inline替换#define
049_consteval_constinit.cpp|consteval和constinit编译期特性|第2章 变量和基本类型 - 2.4 const限定符|条款02 尽量以const、enum、inline替换#define
050_cpp20_concepts.cpp|C++20 Concepts概念|第16章 模板与泛型编程 - 16.1 定义模板|条款41 了解隐式接口和编译期多态
